Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
1,Ismael Aaneba,FRA,"FW,DF",Strasbourg,Ligue 1,21,1999,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
2,Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29,1990,19.7,26,1.32,22,3,1,0,0,0,3,0.15,2,1,0,0,0,0,Matches
3,Issah Abbas,GHA,"DF,FW",Mainz 05,Bundesliga,21,1998,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
4,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32,1987,32.1,11,0.34,10,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
5,Sabit Abdulai,GHA,MF,Getafe,La Liga,21,1999,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
6,Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27,1992,14.7,28,1.91,18,4,2,0,2,2,1,0.07,1,0,0,0,0,0,Matches
7,Laurent Abergel,FRA,MF,Lorient,Ligue 1,27,1993,32.9,56,1.7,40,1,1,5,4,5,9,0.27,6,0,0,1,1,1,Matches
8,Charles Abi,FRA,"FW,MF",Saint-Étienne,Ligue 1,20,2000,10.1,14,1.38,11,1,1,0,1,0,2,0.2,2,0,0,0,0,0,Matches
9,Matthis Abline,FRA,FW,Rennes,Ligue 1,17,2003,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
10,Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24,1995,14.0,7,0.5,4,0,0,2,1,0,0,0.0,0,0,0,0,0,0,Matches
11,David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,34,1986,13.6,2,0.15,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
12,Tammy Abraham,ENG,FW,Chelsea,Premier League,22,1997,11.6,18,1.56,11,0,1,3,3,0,2,0.17,1,0,0,0,1,0,Matches
13,Amir Abrashi,ALB,MF,Freiburg,Bundesliga,30,1990,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
14,Gennaro Acampora,ITA,"MF,FW",Spezia,Serie A,26,1994,4.9,6,1.22,5,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
15,Francesco Acerbi,ITA,DF,Lazio,Serie A,32,1988,31.3,32,1.02,27,1,0,2,0,2,4,0.13,4,0,0,0,0,0,Matches
16,Ragnar Ache,GER,"FW,DF",Eint Frankfurt,Bundesliga,22,1998,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
17,Marcos Acuña,ARG,DF,Sevilla,La Liga,28,1991,25.9,58,2.24,39,11,5,2,0,1,4,0.15,2,1,0,1,0,0,Matches
18,Che Adams,SCO,FW,Southampton,Premier League,24,1996,29.6,66,2.23,48,0,1,6,8,3,8,0.27,7,0,0,0,1,0,Matches
19,Tyler Adams,USA,"DF,MF",RB Leipzig,Bundesliga,21,1999,20.6,27,1.31,23,0,0,0,3,1,3,0.15,2,0,0,0,0,1,Matches
20,Sargis Adamyan,ARM,"FW,MF",Hoffenheim,Bundesliga,27,1993,5.3,22,4.13,15,1,1,2,3,0,6,1.13,3,0,0,2,1,0,Matches
21,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,22,1997,32.8,17,0.52,16,0,0,1,0,0,1,0.03,1,0,0,0,0,0,Matches
22,Bobby Adekanye,NED,"FW,MF",Cádiz,La Liga,21,1999,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
23,Yacine Adli,FRA,MF,Bordeaux,Ligue 1,20,2000,26.9,92,3.42,68,9,6,1,3,5,8,0.3,6,1,0,1,0,0,Matches
24,Andrea Adorante,ITA,FW,Parma,Serie A,20,2000,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
25,Adrián,ESP,GK,Liverpool,Premier League,33,1987,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
26,Martin Agirregabiria,ESP,"DF,MF",Alavés,La Liga,24,1996,17.3,23,1.33,14,7,0,0,1,1,3,0.17,2,1,0,0,0,0,Matches
27,Lucien Agoume,FRA,MF,Spezia,Serie A,18,2002,8.9,6,0.68,6,0,0,0,0,0,2,0.23,2,0,0,0,0,0,Matches
28,Felix Agu,GER,DF,Werder Bremen,Bundesliga,20,1999,7.8,6,0.77,4,0,1,0,1,0,1,0.13,1,0,0,0,0,0,Matches
29,Kevin Agudelo,COL,FW,Spezia,Serie A,21,1998,15.1,35,2.32,17,1,4,5,5,3,4,0.27,3,0,0,1,0,0,Matches
30,Nayef Aguerd,MAR,DF,Rennes,Ligue 1,24,1996,35.0,14,0.4,12,0,0,2,0,0,1,0.03,1,0,0,0,0,0,Matches
31,Sergio Agüero,ARG,"FW,MF",Manchester City,Premier League,32,1988,6.2,16,2.58,13,0,2,0,0,1,3,0.48,2,0,1,0,0,0,Matches
32,Ruben Aguilar,FRA,"DF,FW",Monaco,Ligue 1,27,1993,24.7,72,2.91,56,9,2,1,4,0,8,0.32,6,0,1,0,1,0,Matches
33,Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,18,2002,2.8,2,0.71,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
34,Matteo Ahlinvi,BEN,MF,Nîmes,Ligue 1,21,1999,10.0,10,1.0,4,2,0,0,2,2,0,0.0,0,0,0,0,0,0,Matches
35,Cheikh Ahmadou Dieng,SEN,FW,Marseille,Ligue 1,20,2000,1.4,1,0.7,0,0,0,0,1,0,1,0.7,0,0,0,0,1,0,Matches
36,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,26,1994,23.8,25,1.05,19,1,0,2,2,1,4,0.17,2,0,0,1,0,1,Matches
37,Jean-Eudes Aholou,CIV,MF,Monaco,Ligue 1,26,1994,0.4,1,2.5,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
38,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,24,1995,14.3,10,0.7,7,0,1,2,0,0,2,0.14,2,0,0,0,0,0,Matches
39,Ola Aina,NGA,DF,Fulham,Premier League,23,1996,29.6,26,0.88,22,2,0,0,1,1,4,0.14,4,0,0,0,0,0,Matches
40,Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,19,2001,2.1,8,3.85,6,0,2,0,0,0,2,0.96,1,0,1,0,0,0,Matches
41,Rayan Aït Nouri,FRA,DF,Wolves,Premier League,19,2001,15.6,30,1.92,19,3,7,0,1,0,2,0.13,1,0,1,0,0,0,Matches
42,Semi Ajayi,NGA,DF,West Brom,Premier League,26,1993,30.9,14,0.45,11,0,2,1,0,0,3,0.1,2,0,0,1,0,0,Matches
43,Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,26,1994,33.0,68,2.06,48,0,1,11,8,0,8,0.24,4,0,1,1,2,0,Matches
44,Manuel Akanji,SUI,DF,Dortmund,Bundesliga,25,1995,26.1,15,0.57,10,1,0,2,1,1,1,0.04,1,0,0,0,0,0,Matches
45,Carlos Akapo,EQG,DF,Cádiz,La Liga,27,1993,9.6,5,0.52,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
46,Marley Aké,FRA,FW,Marseille,Ligue 1,19,2001,1.6,1,0.62,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
47,Nathan Aké,NED,DF,Manchester City,Premier League,25,1995,8.9,3,0.34,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
48,Paul Akouokou,CIV,MF,Betis,La Liga,22,1997,4.2,5,1.19,4,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
