Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Adrián,ESP,GK,Liverpool,Premier League,33,1987,3,3,270,3.0,9,3.0,19,10,52.6,1,1,1,1,33.3,0,0,0,0,0.0,Matches
2,Rúnar Alex Rúnarsson,ISL,GK,Arsenal,Premier League,25,1995,1,0,16,0.2,0,0.0,2,2,100.0,0,0,0,0,0.0,0,0,0,0,0.0,Matches
3,Alisson,BRA,GK,Liverpool,Premier League,27,1992,33,33,2970,33.0,32,0.97,111,82,74.8,18,8,7,10,30.3,8,4,1,3,20.0,Matches
4,Saturnin Allagbé,BEN,GK,Dijon,Ligue 1,26,1993,12,12,1080,12.0,30,2.5,64,35,54.7,2,2,8,3,25.0,3,1,1,1,50.0,Matches
5,Nícolas Andrade,BRA,GK,Udinese,Serie A,32,1988,2,2,180,2.0,5,2.5,7,2,28.6,1,0,1,0,0.0,0,0,0,0,0.0,Matches
6,Ángel,ESP,GK,Granada,La Liga,18,2002,1,1,90,1.0,2,2.0,7,6,85.7,0,0,1,0,0.0,2,1,1,0,50.0,Matches
7,Alphonse Areola,FRA,GK,Fulham,Premier League,27,1993,36,36,3240,36.0,48,1.33,156,114,73.1,5,13,18,9,25.0,6,6,0,0,0.0,Matches
8,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,25,1994,7,6,585,6.5,8,1.23,22,15,68.2,2,2,2,2,33.3,1,1,0,0,0.0,Matches
9,Sergio Asenjo,ESP,GK,Villarreal,La Liga,31,1989,36,36,3240,36.0,41,1.14,114,83,70.2,15,13,8,10,27.8,9,7,1,1,12.5,Matches
10,Emil Audero,ITA,GK,Sampdoria,Serie A,23,1997,37,37,3330,37.0,54,1.46,165,117,71.5,14,7,16,6,16.2,9,7,2,0,22.2,Matches
11,Édgar Badía,ESP,GK,Elche,La Liga,28,1992,30,30,2700,30.0,46,1.53,135,93,69.6,5,11,14,5,16.7,9,5,3,1,37.5,Matches
