Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián,ESP,GK,Liverpool,Premier League,33,1987,3.0,9,0,0,2,0,7.9,0.42,-1.1,-0.36,12,32,37.5,77,20,31.2,34.9,22,36.4,32.6,29,2,6.9,1,0.33,13.2,Matches
2,Rúnar Alex Rúnarsson,ISL,GK,Arsenal,Premier League,25,1995,0.2,0,0,0,0,0,0.1,0.04,0.1,0.5,0,3,0.0,10,2,30.0,31.8,1,0.0,30.0,4,0,0.0,0,0.0,17.5,Matches
3,Alisson,BRA,GK,Liverpool,Premier League,27,1992,33.0,32,4,1,4,0,37.9,0.31,5.9,0.18,128,275,46.5,964,159,22.6,30.2,173,32.9,35.5,218,22,10.1,44,1.33,17.9,Matches
4,Saturnin Allagbé,BEN,GK,Dijon,Ligue 1,26,1993,12.0,30,1,1,3,1,20.2,0.29,-8.8,-0.73,79,210,37.6,301,70,48.2,38.4,104,62.5,46.2,105,4,3.8,13,1.08,14.8,Matches
5,Nícolas Andrade,BRA,GK,Udinese,Serie A,32,1988,2.0,5,0,0,0,0,4.0,0.58,-1.0,-0.48,6,13,46.2,31,5,25.8,32.1,9,55.6,47.4,16,0,0.0,0,0.0,15.2,Matches
6,Ángel,ESP,GK,Granada,La Liga,18,2002,1.0,2,1,0,1,0,2.7,0.22,0.7,0.69,10,24,41.7,13,0,76.9,50.1,17,82.4,55.0,10,0,0.0,1,1.0,14.3,Matches
7,Alphonse Areola,FRA,GK,Fulham,Premier League,27,1993,36.0,48,6,0,4,1,54.6,0.32,7.6,0.21,171,431,39.7,752,158,38.2,34.0,249,57.8,43.1,325,32,9.8,20,0.56,13.9,Matches
8,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,25,1994,6.5,8,1,0,0,0,7.4,0.31,-0.6,-0.09,38,78,48.7,198,39,29.8,30.8,45,42.2,35.0,40,5,12.5,6,0.92,18.1,Matches
9,Sergio Asenjo,ESP,GK,Villarreal,La Liga,31,1989,36.0,41,7,0,4,2,34.8,0.25,-3.2,-0.09,210,462,45.5,1022,189,31.3,33.7,285,49.8,43.1,427,42,9.8,21,0.58,13.8,Matches
10,Emil Audero,ITA,GK,Sampdoria,Serie A,23,1997,37.0,54,7,1,6,1,51.3,0.27,-1.7,-0.05,254,612,41.5,995,175,44.6,38.5,261,64.4,47.3,381,30,7.9,15,0.41,12.7,Matches
11,Édgar Badía,ESP,GK,Elche,La Liga,28,1992,30.0,46,5,0,5,0,45.6,0.3,-0.4,-0.01,262,518,50.6,864,143,39.5,35.9,283,62.5,43.3,302,23,7.6,20,0.67,13.3,Matches
12,Stefan Bajic,FRA,GK,Saint-Étienne,Ligue 1,18,2001,1.0,4,0,0,0,0,1.8,0.44,-2.2,-2.23,3,17,17.6,29,9,37.9,34.8,7,85.7,50.9,12,2,16.7,0,0.0,13.6,Matches
13,Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,30,1990,31.0,51,6,0,4,2,48.1,0.33,-0.9,-0.03,190,459,41.4,1148,174,32.9,32.8,204,39.7,35.1,272,11,4.0,36,1.16,15.1,Matches
14,Walter Benítez,ARG,GK,Nice,Ligue 1,27,1993,38.0,53,7,0,12,0,48.3,0.25,-4.7,-0.12,129,346,37.3,924,170,25.6,29.6,302,36.1,34.7,355,25,7.0,17,0.45,13.3,Matches
15,Alessandro Berardi,ITA,GK,Hellas Verona,Serie A,29,1991,0.3,0,0,0,0,0,0.0,0.05,0.0,0.15,3,10,30.0,7,0,85.7,46.1,4,100.0,68.5,5,1,20.0,0,0.0,0.0,Matches
16,Paul Bernardoni,FRA,GK,Angers,Ligue 1,23,1997,38.0,58,7,0,6,1,49.9,0.33,-7.1,-0.19,177,512,34.6,720,210,43.9,38.9,269,72.9,52.8,318,24,7.5,11,0.29,13.1,Matches
17,Dimitry Bertaud,FRA,GK,Montpellier,Ligue 1,22,1998,8.3,11,1,0,1,0,12.0,0.29,1.0,0.12,110,198,55.6,231,44,56.7,43.2,82,81.7,57.8,97,13,13.4,2,0.24,11.6,Matches
18,Rubén Blanco,ESP,GK,Celta Vigo,La Liga,25,1995,18.2,27,1,1,2,0,22.8,0.37,-4.2,-0.23,111,298,37.2,520,81,40.2,36.2,144,61.8,46.3,149,9,6.0,12,0.66,14.9,Matches
19,Elias Bördner,GER,GK,Eint Frankfurt,Bundesliga,18,2002,1.0,1,0,0,0,0,0.8,0.13,-0.2,-0.24,4,18,22.2,32,9,50.0,38.0,11,18.2,23.7,10,0,0.0,0,0.0,7.5,Matches
20,Yassine Bounou,MAR,GK,Sevilla,La Liga,29,1991,33.0,28,4,0,4,2,25.8,0.22,-0.2,-0.01,199,419,47.5,897,141,34.0,35.0,199,57.3,44.2,284,32,11.3,23,0.7,15.6,Matches
21,Claudio Bravo,CHI,GK,Betis,La Liga,37,1983,20.0,25,4,0,2,1,27.1,0.34,3.1,0.16,139,358,38.8,519,81,52.4,43.0,130,66.2,51.3,186,10,5.4,8,0.4,12.8,Matches
