Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Ismael Aaneba,FRA,"FW,DF",Strasbourg,Ligue 1,21,1999,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,Matches
2,Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29,1990,19.7,2,0,0,11,4,3,34,34,19,0,0,0,180,10,11,47.6,Matches
3,Issah Abbas,GHA,"DF,FW",Mainz 05,Bundesliga,21,1998,0.2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0.0,Matches
4,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32,1987,32.1,4,1,0,38,23,0,0,56,46,0,0,0,288,93,49,65.5,Matches
5,Sabit Abdulai,GHA,MF,Getafe,La Liga,21,1999,0.7,1,0,0,2,1,0,1,1,0,0,0,0,5,1,1,50.0,Matches
6,Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27,1992,14.7,5,0,0,30,22,1,21,23,24,0,0,0,146,12,19,38.7,Matches
7,Laurent Abergel,FRA,MF,Lorient,Ligue 1,27,1993,32.9,5,0,0,43,38,0,18,46,108,1,0,0,298,8,19,29.6,Matches
8,Charles Abi,FRA,"FW,MF",Saint-Étienne,Ligue 1,20,2000,10.1,1,0,0,18,8,7,4,7,4,0,0,0,40,36,62,36.7,Matches
9,Matthis Abline,FRA,FW,Rennes,Ligue 1,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
10,Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24,1995,14.0,1,0,0,10,9,1,1,32,11,0,0,0,127,57,15,79.2,Matches
11,David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,34,1986,13.6,5,1,1,11,8,1,8,15,13,0,0,0,176,39,26,60.0,Matches
