Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Ismael Aaneba,FRA,"FW,DF",Strasbourg,Ligue 1,21,1999,0.1,2,2,100.0,57,15,0,0,0.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
2,Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29,1990,19.7,889,1127,78.9,14905,6945,454,512,88.7,340,418,81.3,78,151,51.7,1,0.8,0.2,11,68,26,4,112,Matches
3,Issah Abbas,GHA,"DF,FW",Mainz 05,Bundesliga,21,1998,0.2,13,15,86.7,260,106,6,7,85.7,5,6,83.3,2,2,100.0,0,0.0,0.0,0,1,0,0,1,Matches
4,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32,1987,32.1,1506,1715,87.8,33695,11616,336,377,89.1,893,951,93.9,267,366,73.0,0,0.3,-0.3,4,81,1,0,91,Matches
5,Sabit Abdulai,GHA,MF,Getafe,La Liga,21,1999,0.7,7,12,58.3,133,9,2,2,100.0,4,5,80.0,1,3,33.3,0,0.0,0.0,0,0,1,0,1,Matches
6,Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27,1992,14.7,616,725,85.0,12193,2951,247,263,93.9,250,284,88.0,103,154,66.9,0,0.8,-0.8,12,60,7,4,42,Matches
7,Laurent Abergel,FRA,MF,Lorient,Ligue 1,27,1993,32.9,1330,1592,83.5,25835,6521,530,603,87.9,575,639,90.0,200,289,69.2,1,1.4,-0.4,21,113,17,4,111,Matches
8,Charles Abi,FRA,"FW,MF",Saint-Étienne,Ligue 1,20,2000,10.1,144,214,67.3,1899,334,84,109,77.1,37,52,71.2,6,20,30.0,2,0.3,1.7,8,9,5,0,11,Matches
9,Matthis Abline,FRA,FW,Rennes,Ligue 1,17,2003,0.0,0,1,0.0,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,Matches
10,Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24,1995,14.0,505,624,80.9,12189,4391,125,134,93.3,242,274,88.3,132,205,64.4,0,0.1,-0.1,3,30,2,0,31,Matches
