Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Ismael Aaneba,FRA,"FW,DF",Strasbourg,Ligue 1,21,1999,0.1,2,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,Matches
2,Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29,1990,19.7,1127,932,195,36,2,112,20,34,2,0,2,0,717,219,191,743,194,25,157,3,889,12,22,29,34,Matches
3,Issah Abbas,GHA,"DF,FW",Mainz 05,Bundesliga,21,1998,0.2,15,12,3,0,0,0,0,0,0,0,0,0,10,4,1,0,12,0,3,0,13,0,0,0,0,Matches
4,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32,1987,32.1,1715,1656,59,59,0,168,39,0,0,0,0,0,1365,124,226,1135,475,57,0,3,1506,4,26,24,13,Matches
5,Sabit Abdulai,GHA,MF,Getafe,La Liga,21,1999,0.7,12,12,0,0,0,7,1,1,0,0,0,0,8,0,4,1,10,1,0,0,7,0,1,1,1,Matches
6,Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27,1992,14.7,725,676,49,32,1,83,33,21,14,7,4,3,544,70,111,100,589,19,3,4,616,5,15,10,7,Matches
7,Laurent Abergel,FRA,MF,Lorient,Ligue 1,27,1993,32.9,1592,1546,46,37,2,318,53,18,1,1,0,0,1174,198,220,137,1391,45,7,5,1330,5,28,50,28,Matches
8,Charles Abi,FRA,"FW,MF",Saint-Étienne,Ligue 1,20,2000,10.1,214,199,15,0,1,77,2,4,0,0,0,0,140,33,41,142,26,16,0,3,144,0,7,1,14,Matches
9,Matthis Abline,FRA,FW,Rennes,Ligue 1,17,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,Matches
10,Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24,1995,14.0,624,598,26,24,0,67,43,1,0,0,0,0,424,51,149,191,387,30,2,0,505,0,15,5,3,Matches
11,David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,34,1986,13.6,689,632,57,17,1,75,23,8,0,0,0,0,433,93,163,68,500,54,40,1,564,3,7,5,10,Matches
12,Tammy Abraham,ENG,FW,Chelsea,Premier League,22,1997,11.6,218,208,10,2,0,77,1,4,0,0,0,0,136,54,28,17,147,18,0,12,149,0,4,3,13,Matches
13,Amir Abrashi,ALB,MF,Freiburg,Bundesliga,30,1990,0.7,22,22,0,0,0,9,0,0,0,0,0,0,19,2,1,1,20,0,0,0,18,0,0,1,0,Matches
14,Gennaro Acampora,ITA,"MF,FW",Spezia,Serie A,26,1994,4.9,225,221,4,3,0,35,7,7,1,0,0,0,177,17,31,198,20,6,0,1,189,2,6,5,3,Matches
15,Francesco Acerbi,ITA,DF,Lazio,Serie A,32,1988,31.3,2035,1927,108,54,1,183,73,26,0,0,0,0,1467,208,360,1538,339,92,24,5,1804,4,27,15,15,Matches
16,Ragnar Ache,GER,"FW,DF",Eint Frankfurt,Bundesliga,22,1998,1.1,35,35,0,0,0,16,0,0,0,0,0,0,15,11,9,3,16,4,0,0,19,0,0,1,4,Matches
17,Marcos Acuña,ARG,DF,Sevilla,La Liga,28,1991,25.9,1771,1491,280,44,2,177,67,81,24,3,17,1,1047,297,427,1293,212,39,212,2,1426,3,30,36,48,Matches
18,Che Adams,SCO,FW,Southampton,Premier League,24,1996,29.6,633,621,12,1,8,176,14,13,0,0,0,0,398,125,110,39,500,36,0,24,443,6,9,28,33,Matches
19,Tyler Adams,USA,"DF,MF",RB Leipzig,Bundesliga,21,1999,20.6,1375,1274,101,23,0,184,9,12,0,0,0,0,1025,176,174,153,1057,57,78,8,1184,1,7,33,28,Matches
20,Sargis Adamyan,ARM,"FW,MF",Hoffenheim,Bundesliga,27,1993,5.3,167,162,5,1,0,38,3,6,0,0,0,0,103,34,30,22,118,14,3,4,120,1,6,6,13,Matches
21,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,22,1997,32.8,1824,1775,49,42,2,174,49,3,0,0,0,0,1409,128,287,248,1442,81,7,3,1594,3,32,21,16,Matches
22,Bobby Adekanye,NED,"FW,MF",Cádiz,La Liga,21,1999,0.4,10,10,0,0,0,0,0,2,0,0,0,0,7,1,2,9,0,1,0,0,7,0,0,0,0,Matches
23,Yacine Adli,FRA,MF,Bordeaux,Ligue 1,20,2000,26.9,1629,1569,60,38,10,259,71,30,18,7,5,3,1262,158,209,135,1435,31,4,5,1346,6,27,43,36,Matches
24,Andrea Adorante,ITA,FW,Parma,Serie A,20,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
25,Adrián,ESP,GK,Liverpool,Premier League,33,1987,3.0,99,70,29,7,0,9,1,0,0,0,0,0,57,9,33,12,66,0,0,20,76,1,2,0,0,Matches
26,Martin Agirregabiria,ESP,"DF,MF",Alavés,La Liga,24,1996,17.3,727,546,181,18,1,82,18,22,1,0,0,0,353,158,216,62,444,44,162,1,520,5,22,28,19,Matches
27,Lucien Agoume,FRA,MF,Spezia,Serie A,18,2002,8.9,494,480,14,13,1,75,19,0,0,0,0,0,376,43,75,77,384,21,1,3,443,3,5,8,1,Matches
28,Felix Agu,GER,DF,Werder Bremen,Bundesliga,20,1999,7.8,289,223,66,1,0,46,5,10,0,0,0,0,167,58,64,47,159,14,65,0,210,0,5,16,11,Matches
29,Kevin Agudelo,COL,FW,Spezia,Serie A,21,1998,15.1,320,304,16,0,0,100,9,10,2,0,0,0,222,60,38,252,40,10,2,2,232,1,11,7,19,Matches
30,Nayef Aguerd,MAR,DF,Rennes,Ligue 1,24,1996,35.0,2658,2586,72,71,1,169,71,1,0,0,0,0,2258,146,254,2264,266,69,1,5,2430,1,22,15,9,Matches
31,Sergio Agüero,ARG,"FW,MF",Manchester City,Premier League,32,1988,6.2,170,160,10,0,0,29,1,2,0,0,0,0,144,18,8,14,150,2,1,2,143,0,0,4,8,Matches
32,Ruben Aguilar,FRA,"DF,FW",Monaco,Ligue 1,27,1993,24.7,1599,1374,225,32,2,133,51,100,22,8,10,2,1023,246,330,33,1304,54,171,5,1317,5,16,24,31,Matches
33,Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,18,2002,2.8,120,118,2,2,0,30,1,1,0,0,0,0,104,7,9,12,103,4,0,0,108,0,0,1,4,Matches
34,Matteo Ahlinvi,BEN,MF,Nîmes,Ligue 1,21,1999,10.0,336,328,8,8,0,39,9,4,0,0,0,0,277,25,34,261,56,13,0,2,266,1,16,8,12,Matches
35,Cheikh Ahmadou Dieng,SEN,FW,Marseille,Ligue 1,20,2000,1.4,20,17,3,0,0,4,0,1,0,0,0,0,11,7,2,3,12,2,1,1,15,0,1,0,0,Matches
36,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,26,1994,23.8,839,826,13,10,0,127,16,5,1,1,0,0,635,93,111,642,129,37,2,3,706,2,17,17,14,Matches
37,Jean-Eudes Aholou,CIV,MF,Monaco,Ligue 1,26,1994,0.4,10,10,0,0,0,1,0,0,0,0,0,0,9,0,1,7,3,0,0,0,8,0,1,0,0,Matches
38,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,24,1995,14.3,627,610,17,16,2,95,9,1,0,0,0,0,464,59,104,100,467,35,1,4,518,5,18,10,12,Matches
39,Ola Aina,NGA,DF,Fulham,Premier League,23,1996,29.6,1711,1428,283,33,0,121,38,42,0,0,0,0,1007,270,434,292,1068,84,250,4,1329,1,24,43,45,Matches
40,Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,19,2001,2.1,149,129,20,0,0,11,2,4,0,0,0,0,116,15,18,117,8,2,20,0,136,0,0,1,1,Matches
41,Rayan Aït Nouri,FRA,DF,Wolves,Premier League,19,2001,15.6,785,651,134,7,0,78,12,30,7,1,3,3,518,162,105,569,67,20,120,2,657,1,5,10,33,Matches
42,Semi Ajayi,NGA,DF,West Brom,Premier League,26,1993,30.9,948,888,60,11,1,121,29,6,0,0,0,0,574,110,264,49,728,71,49,3,705,7,28,29,12,Matches
43,Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,26,1994,33.0,907,852,55,0,2,294,44,33,0,0,0,0,448,264,195,482,172,89,7,20,645,1,27,21,42,Matches
44,Manuel Akanji,SUI,DF,Dortmund,Bundesliga,25,1995,26.1,2097,2036,61,48,1,167,71,0,0,0,0,0,1811,125,161,485,1499,74,13,3,1949,5,18,23,13,Matches
45,Carlos Akapo,EQG,DF,Cádiz,La Liga,27,1993,9.6,349,239,110,9,0,49,8,16,0,0,0,0,142,98,109,18,194,25,101,1,233,2,14,13,10,Matches
46,Marley Aké,FRA,FW,Marseille,Ligue 1,19,2001,1.6,35,33,2,0,0,11,0,1,0,0,0,0,21,6,8,3,24,3,0,1,28,1,2,2,1,Matches
47,Nathan Aké,NED,DF,Manchester City,Premier League,25,1995,8.9,755,730,25,13,0,44,10,0,0,0,0,0,659,32,64,583,116,21,11,3,702,0,3,7,7,Matches
48,Paul Akouokou,CIV,MF,Betis,La Liga,22,1997,4.2,183,182,1,1,0,20,3,2,0,0,0,0,150,16,17,21,151,5,0,1,168,0,1,3,0,Matches
49,Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,27,1992,11.7,354,336,18,4,2,55,6,1,0,0,0,0,255,64,35,59,263,12,12,3,288,1,9,9,14,Matches
50,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,25,1995,13.2,737,676,61,29,0,82,13,7,2,1,0,0,559,55,123,98,574,25,30,0,606,1,23,6,10,Matches
51,David Alaba,AUT,"DF,MF",Bayern Munich,Bundesliga,28,1992,29.7,2251,2158,93,50,5,195,45,29,1,0,1,0,1720,180,351,1869,260,68,40,2,1916,11,27,36,35,Matches
52,Sofiane Alakouch,FRA,DF,Nîmes,Ligue 1,22,1998,16.7,912,713,199,18,0,75,19,15,0,0,0,0,529,238,145,60,643,21,180,2,726,3,19,30,29,Matches
53,Jony Álamo,ESP,MF,Elche,La Liga,18,2001,0.8,16,16,0,0,0,2,0,0,0,0,0,0,15,1,0,2,14,0,0,0,14,0,1,0,0,Matches
54,Lucas Alario,ARG,FW,Leverkusen,Bundesliga,27,1992,13.8,314,298,16,1,0,82,1,0,0,0,0,0,198,73,43,37,220,22,0,14,239,0,1,8,11,Matches
55,Jordi Alba,ESP,DF,Barcelona,La Liga,31,1989,33.6,2933,2662,271,30,7,201,42,113,3,0,0,0,2183,465,285,2296,358,31,238,6,2507,6,24,54,97,Matches
56,Luis Alberto,ESP,MF,Lazio,Serie A,27,1992,29.1,1941,1681,260,73,15,316,69,37,117,55,35,11,1391,215,335,94,1783,23,21,11,1520,15,20,50,44,Matches
57,Raúl Albiol,ESP,DF,Villarreal,La Liga,34,1985,34.6,2007,1939,68,63,0,185,67,3,0,0,0,0,1588,141,278,294,1600,72,4,3,1795,2,30,14,19,Matches
58,Marc Albrighton,ENG,"DF,FW",Leicester City,Premier League,30,1989,19.4,923,824,99,10,6,151,33,73,31,5,11,4,523,189,211,68,755,25,58,6,635,6,16,30,72,Matches
59,Paco Alcácer,ESP,FW,Villarreal,La Liga,26,1993,17.2,275,239,36,0,6,40,6,6,0,0,0,0,171,67,37,36,205,19,1,5,202,3,4,13,10,Matches
60,Pedro Alcalá,ESP,DF,Cádiz,La Liga,31,1989,10.1,270,254,16,16,0,27,24,0,0,0,0,0,160,19,91,10,229,22,0,2,204,2,6,3,4,Matches
61,Thiago Alcántara,ESP,MF,Liverpool,Premier League,29,1991,20.6,1674,1630,44,32,9,230,85,4,0,0,0,0,1222,195,257,83,1510,48,3,6,1498,5,18,35,23,Matches
62,Rubén Alcaraz,ESP,MF,Valladolid,La Liga,29,1991,24.1,1157,1104,53,46,1,202,71,6,1,1,0,0,781,105,271,170,884,51,6,8,962,4,31,22,19,Matches
63,Omar Alderete,PAR,DF,Hertha BSC,Bundesliga,23,1996,14.4,878,854,24,24,0,59,25,2,0,0,0,0,635,43,200,784,46,32,0,2,717,6,11,17,10,Matches
64,Toby Alderweireld,BEL,DF,Tottenham,Premier League,31,1989,24.9,1366,1306,60,50,2,98,51,1,0,0,0,0,927,120,319,255,1010,66,10,5,1144,2,19,21,13,Matches
65,Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,25,1995,9.2,231,218,13,1,1,57,12,46,3,1,2,0,120,49,62,18,180,12,7,1,130,0,8,6,26,Matches
66,Carles Aleñá,ESP,MF,Barcelona,La Liga,22,1998,0.5,42,42,0,0,0,6,2,0,0,0,0,0,36,3,3,36,4,0,0,0,38,0,1,1,0,Matches
67,Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,22,1998,15.2,592,519,73,36,1,93,29,24,30,11,12,1,357,72,163,497,51,29,5,1,408,7,16,21,17,Matches
68,Rúnar Alex Rúnarsson,ISL,GK,Arsenal,Premier League,25,1995,0.2,11,8,3,2,0,1,0,0,0,0,0,0,7,1,3,1,8,0,0,2,7,0,1,0,0,Matches
69,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,21,1998,33.7,2941,2454,487,57,9,248,147,182,104,17,57,4,1628,532,781,335,2208,63,326,6,2216,11,37,63,103,Matches
70,Alfon,ESP,MF,Celta Vigo,La Liga,21,1999,0.4,15,15,0,0,0,2,0,0,0,0,0,0,12,2,1,1,13,1,0,0,15,0,0,0,0,Matches
71,Mohamed Ali Cho,FRA,"FW,MF",Angers,Ligue 1,16,2004,3.9,105,104,1,0,0,25,1,9,0,0,0,0,76,18,11,74,19,3,0,5,67,1,2,7,5,Matches
