Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Rocco Ascone,FRA,FW,Lille,Ligue 1,16,2003,0,0,0,0.0,0.0,0,0,0,0,0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2,Reece Hannam,ENG,DF,Crystal Palace,Premier League,19,2000,0,0,0,0.0,0.0,0,0,0,0,0,5,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3,Ismael Aaneba,FRA,"FW,DF",Strasbourg,Ligue 1,21,1999,2,11,6,0.3,0.1,0,0,0,2,6,18,2.0,0,0,0,0.0,0.24,0.0,0.3,-0.3,-2.34,-2.51,Matches
4,Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29,1990,22,1777,81,52.0,19.7,20,88,19,2,11,11,1.05,19,36,-17,-0.86,-0.42,15.9,29.8,-13.8,-0.7,-0.08,Matches
5,Issah Abbas,GHA,"DF,FW",Mainz 05,Bundesliga,21,1998,2,18,9,0.6,0.2,0,0,0,2,9,5,0.0,0,0,0,0.0,0.5,1.0,0.0,1.0,4.88,5.03,Matches
6,Basit Abdallah,GHA,MF,Benevento,Serie A,20,1999,0,0,0,0.0,0.0,0,0,0,0,0,13,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
7,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32,1987,33,2889,88,84.5,32.1,33,88,32,0,0,0,1.18,37,39,-2,-0.06,0.95,29.9,48.9,-19.0,-0.59,0.88,Matches
8,Sabit Abdulai,GHA,MF,Getafe,La Liga,21,1999,3,60,20,1.8,0.7,0,0,0,3,20,16,0.67,1,2,-1,-1.5,-1.13,0.9,1.5,-0.7,-1.03,-0.85,Matches
9,Eris Abedini,KVX,MF,Granada,La Liga,21,1998,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
10,Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27,1992,18,1320,73,38.6,14.7,15,83,10,3,23,1,0.94,14,23,-9,-0.61,-0.66,16.9,23.5,-6.6,-0.45,-0.42,Matches
11,Laurent Abergel,FRA,MF,Lorient,Ligue 1,27,1993,38,2963,78,86.6,32.9,32,85,22,6,40,0,1.11,42,53,-11,-0.33,1.04,42.2,43.7,-1.5,-0.05,0.51,Matches
12,Charles Abi,FRA,"FW,MF",Saint-Étienne,Ligue 1,20,2000,24,912,38,26.7,10.1,9,64,1,15,22,2,1.33,16,23,-7,-0.69,-0.51,15.3,16.1,-0.7,-0.07,-0.09,Matches
13,Matthis Abline,FRA,FW,Rennes,Ligue 1,17,2003,1,2,2,0.1,0.0,0,0,0,1,2,3,3.0,1,0,1,45.0,44.71,0.2,0.0,0.2,9.8,9.55,Matches
