Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Ismael Aaneba,FRA,"FW,DF",Strasbourg,Ligue 1,21,1999,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2,Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29,1990,19.7,0,18,6,33.3,0.91,0.3,0.0,0.0,20.3,3,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
3,Issah Abbas,GHA,"DF,FW",Mainz 05,Bundesliga,21,1998,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
4,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32,1987,32.1,3,15,5,33.3,0.47,0.16,0.2,0.6,10.2,0,0,0,1.7,1.7,0.11,1.3,1.3,Matches
5,Sabit Abdulai,GHA,MF,Getafe,La Liga,21,1999,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
6,Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27,1992,14.7,0,20,0,0.0,1.36,0.0,0.0,0.0,22.9,1,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
7,Laurent Abergel,FRA,MF,Lorient,Ligue 1,27,1993,32.9,3,30,10,33.3,0.91,0.3,0.1,0.3,25.9,0,0,0,1.3,1.3,0.04,1.7,1.7,Matches
8,Charles Abi,FRA,"FW,MF",Saint-Étienne,Ligue 1,20,2000,10.1,3,19,4,21.1,1.87,0.39,0.16,0.75,11.8,0,0,0,2.1,2.1,0.11,0.9,0.9,Matches
9,Matthis Abline,FRA,FW,Rennes,Ligue 1,17,2003,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
10,Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24,1995,14.0,0,13,3,23.1,0.93,0.21,0.0,0.0,11.3,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
11,David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,34,1986,13.6,1,9,2,22.2,0.66,0.15,0.11,0.5,16.0,0,0,0,0.7,0.7,0.07,0.3,0.3,Matches
