Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper
1,Inter,it ITA,1,38,28,7,3,89,35,+54,91,2.39,74.8,38.6,+36.2,+0.95,W W W L W,158,Romelu Lukaku - 24,Samir Handanović
2,Bayern Munich,de GER,1,34,24,6,4,99,44,+55,78,2.29,75.8,41.0,+34.8,+1.02,W L W D W,15,Robert Lewandowski - 41,Manuel Neuer
3,Manchester City,eng ENG,1,38,27,5,6,83,32,+51,86,2.26,73.3,31.3,+42.0,+1.11,W L W L W,526,İlkay Gündoğan - 13,Ederson
4,Atlético Madrid,es ESP,1,38,26,8,4,67,25,+42,86,2.26,52.4,32.7,+19.7,+0.52,W D W W W,,Luis Suárez - 21,Jan Oblak
5,Real Madrid,es ESP,2,38,25,9,4,67,28,+39,84,2.21,61.7,36.5,+25.2,+0.66,W D W W W,,Karim Benzema - 23,Thibaut Courtois
6,Lille,fr FRA,1,38,24,11,3,64,23,+41,83,2.18,50.0,26.7,+23.4,+0.61,W W W D W,209,Burak Yılmaz - 16,Mike Maignan
7,Paris S-G,fr FRA,2,38,26,4,8,86,28,+58,82,2.16,82.5,37.3,+45.2,+1.19,W W D W W,,Kylian Mbappé - 27,Keylor Navas
8,Milan,it ITA,2,38,24,7,7,74,41,+33,79,2.08,71.2,45.8,+25.4,+0.67,W W W D W,105,Zlatan Ibrahimović - 15,Gianluigi Donnarumma
9,Barcelona,es ESP,3,38,24,7,7,85,38,+47,79,2.08,78.9,39.6,+39.3,+1.03,W D D L W,,Lionel Messi - 30,Marc-André ter Stegen
10,Atalanta,it ITA,3,38,23,9,6,90,47,+43,78,2.05,77.1,42.3,+34.8,+0.92,D W W W L,105,Luis Muriel - 22,Pierluigi Gollini
11,Juventus,it ITA,4,38,23,9,6,77,38,+39,78,2.05,74.2,38.1,+36.0,+0.95,W L W W W,105,Cristiano Ronaldo - 29,Wojciech Szczęsny
12,Monaco,fr FRA,3,38,24,6,8,76,42,+34,78,2.05,67.0,33.3,+33.7,+0.89,W L W W D,,Wissam Ben Yedder - 20,Benjamin Lecomte
13,Napoli,it ITA,5,38,24,5,9,86,41,+45,77,2.03,67.6,41.6,+26.0,+0.68,D W W W D,105,Lorenzo Insigne - 19,Alex Meret
14,Sevilla,es ESP,4,38,24,5,9,53,33,+20,77,2.03,50.9,35.0,+15.9,+0.42,L D W L W,,Youssef En-Nesyri - 18,Yassine Bounou
15,Lyon,fr FRA,4,38,22,10,6,81,43,+38,76,2.00,84.4,43.3,+41.1,+1.08,L W W W L,231,Memphis Depay - 20,Anthony Lopes
16,Manchester Utd,eng ENG,2,38,21,11,6,73,44,+29,74,1.95,60.2,42.2,+18.0,+0.47,W L L D W,526,Bruno Fernandes - 18,David de Gea
17,RB Leipzig,de GER,2,34,19,8,7,60,32,+28,65,1.91,65.3,29.1,+36.2,+1.06,L W L D L,1059,Marcel Sabitzer - 8,Péter Gulácsi
18,Dortmund,de GER,3,34,20,4,10,75,46,+29,64,1.88,68.6,40.3,+28.3,+0.83,W W W W W,1241,Erling Haaland - 27,Roman Bürki
19,Liverpool,eng ENG,3,38,20,9,9,68,42,+26,69,1.82,72.6,45.4,+27.3,+0.72,W W W W W,837,Mohamed Salah - 22,Alisson
20,Lazio,it ITA,6,38,21,5,12,61,55,+6,68,1.79,59.8,47.7,+12.1,+0.32,L W L D L,158,Ciro Immobile - 20,Pepe Reina
21,Wolfsburg,de GER,4,34,17,10,7,61,37,+24,61,1.79,49.5,42.0,+7.4,+0.22,W L W D L,538,Wout Weghorst - 20,Koen Casteels
22,Chelsea,eng ENG,4,38,19,10,9,58,36,+22,67,1.76,64.0,32.8,+31.2,+0.82,W W L W L,526,Jorginho - 7,Edouard Mendy
23,Eint Frankfurt,de GER,5,34,16,12,6,69,53,+16,60,1.76,56.1,48.4,+7.7,+0.23,W L D L W,853,André Silva - 28,Kevin Trapp
24,Leicester City,eng ENG,5,38,20,6,12,68,50,+18,66,1.74,56.0,47.7,+8.3,+0.22,D L W L L,421,Jamie Vardy - 15,Kasper Schmeichel
25,West Ham,eng ENG,6,38,19,8,11,62,47,+15,65,1.71,54.0,48.3,+5.7,+0.15,W L D W W,632,Tomáš Souček Michail Antonio - 10,Łukasz Fabiański
26,Tottenham,eng ENG,7,38,18,8,12,68,45,+23,62,1.63,54.6,49.5,+5.0,+0.13,W L W L W,632,Harry Kane - 23,Hugo Lloris
27,Roma,it ITA,7,38,18,8,12,68,58,+10,62,1.63,68.9,51.5,+17.4,+0.46,L W L W D,105,Henrikh Mkhitaryan - 13,Pau López
28,Sassuolo,it ITA,8,38,17,11,10,64,56,+8,62,1.63,59.2,54.9,+4.3,+0.11,D W L W W,134,Domenico Berardi - 17,Andrea Consigli
29,Real Sociedad,es ESP,5,38,17,11,10,59,38,+21,62,1.63,60.4,36.6,+23.8,+0.63,L W L W W,,Alexander Isak - 17,Álex Remiro
30,Arsenal,eng ENG,8,38,18,7,13,55,39,+16,61,1.61,53.5,44.3,+9.2,+0.24,W W W W W,632,Alexandre Lacazette - 13,Bernd Leno
31,Betis,es ESP,6,38,17,10,11,50,50,0,61,1.61,46.0,45.5,+0.5,+0.01,D W D W W,,Borja Iglesias - 11,Claudio Bravo
32,Marseille,fr FRA,5,38,16,12,10,54,47,+7,60,1.58,47.6,45.9,+1.7,+0.04,W D L W D,,Arkadiusz Milik - 9,Steve Mandanda
33,Everton,eng ENG,10,38,17,8,13,47,48,-1,59,1.55,47.0,51.2,-4.1,-0.11,W D L W L,368,Dominic Calvert-Lewin - 16,Jordan Pickford
34,Leeds United,eng ENG,9,38,18,5,15,62,54,+8,59,1.55,57.5,62.9,-5.4,-0.14,L W W W W,421,Patrick Bamford - 17,Illan Meslier
35,Villarreal,es ESP,7,38,15,13,10,60,44,+16,58,1.53,58.0,43.6,+14.4,+0.38,W L W W L,253,Gerard Moreno - 23,Sergio Asenjo
36,Rennes,fr FRA,6,38,16,10,12,52,40,+12,58,1.53,50.0,40.0,+9.9,+0.26,W L D L W,,Sehrou Guirassy - 10,Alfred Gomis
37,Leverkusen,de GER,6,34,14,10,10,53,39,+14,52,1.53,47.2,40.4,+6.8,+0.20,L W D D L,355,Lucas Alario - 11,Lukáš Hrádecký
